,mkt,startDate,endDate,mcnr,startPrice,endPrice
2010-12-31,1.0,2010-12-31,2012-09-19,1.176649285290667,11.520000457763672,25.075000762939453
2012-09-19,-1.0,2012-09-19,2013-04-19,-0.4437687017144154,25.075000762939453,13.947500228881836
2013-04-19,1.0,2013-04-19,2015-02-23,1.3839397350320484,13.947500228881836,33.25
2015-02-23,-1.0,2015-02-23,2016-05-12,-0.3207519072339051,33.25,22.584999084472656
2016-05-12,1.0,2016-05-12,2018-10-03,1.5688511925130926,22.584999084472656,58.01750183105469
2018-10-03,-1.0,2018-10-03,2019-01-03,-0.38729694508624535,58.01750183105469,35.54750061035156
2019-01-03,1.0,2019-01-03,2020-02-12,1.3011463998100994,35.54750061035156,81.80000305175781
2020-02-12,-1.0,2020-02-12,2020-03-23,-0.3142726566427494,81.80000305175781,56.092498779296875
2020-03-23,1.0,2020-03-23,2020-09-01,1.3921200801506388,56.092498779296875,134.17999267578125
2020-09-01,-1.0,2020-09-01,2020-09-18,-0.203756132286817,134.17999267578125,106.83999633789062
2020-09-18,1.0,2020-09-18,,,106.83999633789062,
